GivenName	Latitude	Pounds	Birthday
Jan	4368.62	113.5	1967-04-10
Mary	3060.31	156	1967-04-11
David	3165.11	157.3	1967-04-12
Ricky	3656.63	199.8	1967-04-13
Kathryn	3712.46	208.1	1967-04-14
Jamison	4317.23	212.5	1967-04-15
Sylvia	4672.82	168.1	1967-04-16
Lawrence	4168.34	174.9	1967-04-17
Judith	3448.29	139.3	1967-04-18
Michael	3275.95	216.5	1967-04-19
Julie	3594.97	110.2	1967-04-20
Sean	2133.44	220.9	1967-04-21
Dorothy	4290.69	217.6	1967-04-22
Carlos	3631.82	239.1	1967-04-23
Roderick	4250.93	169	1967-04-24
Margaret	3978.24	187.2	1967-04-25
Michael	3516.52	128	1967-04-26
Sherry	4651.57	123.6	1967-04-27
Chantal	2957.22	163.2	1967-04-28
Hobert	3404.68	182.6	1967-04-29
Michael	3395.42	164.3	1967-04-30
Laura	3419.16	197.6	1967-05-01
Robert	3447.23	211.9	1967-05-02
Yasmin	3997.18	207.5	1967-05-03
Matthew	2874.93	148.7	1967-05-04
Eula	3877.41	138.8	1967-05-05
Ruth	2572.92	221.1	1967-05-06
Patricia	3278.14	175.6	1967-05-07
Michelle	3743.35	169.2	1967-05-08
Steven	3982.38	175.1	1967-05-09
Steven	4075.72	235.6	1967-05-10
Casandra	3424.29	128.3	1967-05-11
Maura	4318.97	202.4	1967-05-12
Debbie	3527.99	158.8	1967-05-13
Phillip	3335.10	215.8	1967-05-14
Anne	2981.59	189.2	1967-05-15
Michael	4016.77	204.2	1967-05-16
Charles	3739.46	257	1967-05-17
Cindy	4161.45	221.3	1967-05-18
Clarence	4537.79	253	1967-05-19
Duane	3035.26	137.9	1967-05-20
Edward	4182.68	159.9	1967-05-21
Richard	2925.08	211.2	1967-05-22
Jeanette	4193.41	187.4	1967-05-23
Sylvia	4313.64	147.4	1967-05-24
Steven	3851.50	191.2	1967-05-25
Shane	3999.85	242.2	1967-05-26
Brittany	4100.14	163.5	1967-05-27
Shasta	4484.71	232.1	1967-05-28
Maxine	4069.13	111.5	1967-05-29
Michael	4286.99	250.4	1967-05-30
Eugene	3963.24	164.1	1967-05-31
Julie	3941.20	169.6	1967-06-01
Jim	4107.84	147.8	1967-06-02
Patricia	4080.26	200.9	1967-06-03
Wade	4410.14	221.1	1967-06-04
Olga	3858.09	145.2	1967-06-05
Larry	4073.21	184.6	1967-06-06
Barbara	3226.24	171.4	1967-06-07
Bryan	3382.18	209.7	1967-06-08
Lisa	3570.18	131.3	1967-06-09
Charlene	4217.29	174.7	1967-06-10
Ryan	3404.36	124.5	1967-06-11
Linda	3130.03	223.3	1967-06-12
Manuel	4007.54	148.9	1967-06-13
Dawn	3739.13	220.2	1967-06-14
George	4296.34	226.4	1967-06-15
Dexter	3409.85	174.9	1967-06-16
James	4307.96	206.6	1967-06-17
Kimberly	3615.11	126.3	1967-06-18
David	3278.81	187.9	1967-06-19
Jared	3420.96	184.4	1967-06-20
Paul	3623.50	236.9	1967-06-21
Sheila	3519.25	184.4	1967-06-22
Dante	3912.48	174.5	1967-06-23
Theresa	2935.89	193.2	1967-06-24
Mildred	3963.59	145.6	1967-06-25
Alan	4188.14	229.9	1967-06-26
Christopher	4071.01	158.8	1967-06-27
Clarinda	4327.95	124.1	1967-06-28
Edward	4235.59	167.6	1967-06-29
Kelly	3540.62	152.9	1967-06-30
Betty	4793.52	123.9	1967-07-01
Ethel	3283.06	232.8	1967-07-02
Sandi	4760.96	165	1967-07-03
Mary	3373.20	202.4	1967-07-04
Patricia	4316.14	241.8	1967-07-05
Helen	4402.22	210.5	1967-07-06
Susan	4762.51	145.6	1967-07-07
Michael	4097.89	175.3	1967-07-08
Ann	3888.94	192.9	1967-07-09
Ethel	3310.30	138.2	1967-07-10
Teresa	3801.61	146.3	1967-07-11
Sandra	3307.07	216	1967-07-12
Gwen	3748.59	158.2	1967-07-13
Wilbur	4491.72	141	1967-07-14
Lori	3394.28	164.1	1967-07-15
Raymond	3220.40	169.2	1967-07-16
Jacki	3910.89	146.5	1967-07-17
Richard	4073.51	250.4	1967-07-18
Fabiola	3261.70	189.9	1967-07-19
Ralph	3396.17	168.5	1967-07-20
Diane	3616.06	106.7	1967-07-21
Muriel	3773.17	123.6	1967-07-22
Kevin	4164.12	240.5	1967-07-23
Jessie	4004.45	179.3	1967-07-24
Denise	2621.87	153.6	1967-07-25
Carlos	3546.88	172	1967-07-26
Owen	4068.29	178.2	1967-07-27
Anna	3073.60	183.7	1967-07-28
Carolyn	4057.06	113.3	1967-07-29
Margaret	3383.13	145	1967-07-30
Lorraine	3879.22	125.8	1967-07-31
Dennis	3401.79	153.3	1967-08-01
Jose	3882.45	167.9	1967-08-02
Norma	4656.43	147.2	1967-08-03
Robert	3544.07	158.2	1967-08-04
Lisa	4464.54	163.2	1967-08-05
Jesus	3318.63	222.6	1967-08-06
Kenneth	3786.11	234.5	1967-08-07
Alicia	3856.37	156	1967-08-08
Carole	4281.24	186.3	1967-08-09
Johnnie	4030.33	137.1	1967-08-10
Christian	4295.62	211.9	1967-08-11
Brian	3423.94	181.1	1967-08-12
Jessie	3792.34	202.8	1967-08-13
Jeremy	4154.64	189.6	1967-08-14
Otto	3290.25	158	1967-08-15
Kristi	3393.27	218.5	1967-08-16
Serita	3523.74	223.1	1967-08-17
Nancy	3755.94	210.8	1967-08-18
Thomas	3947.62	242.4	1967-08-19
Otto	4130.68	148.9	1967-08-20
James	3826.37	191	1967-08-21
Shawn	3516.29	163.9	1967-08-22
Donna	4426.37	114.8	1967-08-23
Vince	3412.11	205	1967-08-24
Lori	4072.04	178	1967-08-25
Barbara	3778.83	142.3	1967-08-26
Janice	4057.77	192.9	1967-08-27
Heidi	4363.02	137.7	1967-08-28
Jennifer	3679.66	116.6	1967-08-29
Robin	3017.21	191.4	1967-08-30
Kenneth	3908.46	242.9	1967-08-31
Tyler	3329.32	255.4	1967-09-01
Rafael	2559.91	161	1967-09-02
Richard	3834.85	139.3	1967-09-03
Jordan	4193.94	166.3	1967-09-04
Stephanie	4256.72	174.2	1967-09-05
Tommie	3926.08	238.5	1967-09-06
Joseph	3380.61	224.2	1967-09-07
Nancy	3287.02	186.3	1967-09-08
Susan	4119.15	175.8	1967-09-09
June	4049.22	195.6	1967-09-10
George	4066.03	143.7	1967-09-11
Arthur	4246.05	150.3	1967-09-12
Keith	3403.43	168.5	1967-09-13
Michael	4047.62	185.9	1967-09-14
June	4032.52	183.5	1967-09-15
Barbara	4503.28	182.6	1967-09-16
Herman	3340.44	156.2	1967-09-17
David	4158.10	222.2	1967-09-18
Dianna	4212.94	179.5	1967-09-19
Nancy	2774.13	115.7	1967-09-20
Madeline	2138.08	131.8	1967-09-21
Kathy	4175.72	159.7	1967-09-22
Mark	3921.34	229.2	1967-09-23
Elmer	3673.76	221.5	1967-09-24
Patsy	4335.92	144.1	1967-09-25
Michael	4202.86	211.6	1967-09-26
Danny	4004.20	159.1	1967-09-27
Freda	3439.84	145.4	1967-09-28
Francis	3131.27	224.2	1967-09-29
Louise	4051.94	111.5	1967-09-30
Pam	3413.80	205.7	1967-10-01
Ronnie	3344.80	183.5	1967-10-02
William	2956.10	183.5	1967-10-03
James	3342.32	179.7	1967-10-04
Joan	3271.02	220.7	1967-10-05
Christine	3701.97	234.7	1967-10-06
Nancy	3976.12	148.3	1967-10-07
Maria	4049.97	155.5	1967-10-08
Michael	4014.36	235.6	1967-10-09
Melanie	3531.93	184.6	1967-10-10
Inez	3412.95	170.3	1967-10-11
Christopher	4069.48	187.9	1967-10-12
Robert	4498.56	198.4	1967-10-13
John	3797.91	215.6	1967-10-14
Nancy	4150.93	183.5	1967-10-15
Chieko	2990.06	177.1	1967-10-16
David	3400.67	145.6	1967-10-17
Edie	3406.18	113.7	1967-10-18
Kenneth	3271.83	207.9	1967-10-19
Ernest	3768.53	209.4	1967-10-20
Joan	3478.50	165	1967-10-21
Lee	2969.81	174.2	1967-10-22
Rosio	3376.37	133.3	1967-10-23
Lorna	3470.68	148.5	1967-10-24
Nathan	4355.34	235.6	1967-10-25
George	4079.18	220.7	1967-10-26
Crystal	3372.09	173.6	1967-10-27
Betty	3915.75	106.5	1967-10-28
Connie	3784.18	207.7	1967-10-29
Geneva	4562.29	207.2	1967-10-30
John	4203.03	204.6	1967-10-31
Matthew	4336.82	159.9	1967-11-01
Linda	4660.84	191.6	1967-11-02
Wanda	4129.70	202.6	1967-11-03
Xavier	4228.11	211.9	1967-11-04
Jerry	3733.69	235.4	1967-11-05
Sharilyn	3367.73	219.3	1967-11-06
Angel	3398.99	231.7	1967-11-07
Susan	4072.08	212.7	1967-11-08
Margaret	4041.59	171.4	1967-11-09
Dan	4303.92	187.4	1967-11-10
Eugene	4490.56	205.5	1967-11-11
George	4189.85	197.1	1967-11-12
Gladys	4729.19	205.3	1967-11-13
Francesca	3308.80	130.9	1967-11-14
Michelle	3243.53	202.8	1967-11-15
Carl	4139.27	183.9	1967-11-16
Susan	4486.79	157.3	1967-11-17
Ellen	3486.38	107.8	1967-11-18
Robert	3813.27	203.5	1967-11-19
George	3543.65	244.9	1967-11-20
Mary	4131.55	209	1967-11-21
Scott	3493.48	154.9	1967-11-22
Joseph	3232.13	220.9	1967-11-23
Richard	3279.34	136	1967-11-24
Matthew	3416.62	212.3	1967-11-25
Dana	4219.82	140.1	1967-11-26
Sheila	3986.12	138.2	1967-11-27
Andrew	3719.80	153.1	1967-11-28
Dwight	3602.74	236.5	1967-11-29
Phyllis	4073.59	191	1967-11-30
David	4078.60	193.8	1967-12-01
Rebecca	3397.83	194.9	1967-12-02
Juanita	3355.81	111.1	1967-12-03
Emilio	3028.90	218	1967-12-04
Carlton	4349.84	192.9	1967-12-05
Wendy	3794.29	176.7	1967-12-06
Nancy	3052.12	116.6	1967-12-07
Nellie	3383.40	202.4	1967-12-08
Timothy	3409.11	174.7	1967-12-09
Celeste	3389.79	163.9	1967-12-10
Irma	3397.67	160.6	1967-12-11
James	3920.30	146.5	1967-12-12
Donald	3028.30	189.4	1967-12-13
Douglas	3268.67	229	1967-12-14
Colby	4270.04	243.5	1967-12-15
John	3228.45	146.7	1967-12-16
Jeremy	3526.57	142.8	1967-12-17
Lisa	4746.67	169.4	1967-12-18
Gus	3914.21	200.6	1967-12-19
Dennis	4077.97	156.2	1967-12-20
Pilar	3807.13	166.5	1967-12-21
Meagan	3852.65	209.9	1967-12-22
Clayton	3990.28	136.8	1967-12-23
Earl	3617.90	202.8	1967-12-24
Nicole	4361.06	148.7	1967-12-25
Leonard	3975.81	145.9	1967-12-26
Nettie	4359.89	161.5	1967-12-27
Michael	4079.39	148.7	1967-12-28
Jerome	3412.30	160.6	1967-12-29
Ava	4048.65	149.6	1967-12-30
Judith	3812.91	180.2	1967-12-31
Andrew	4043.36	215.6	1968-01-01
Harold	3233.68	231.4	1968-01-02
Mary	4187.83	112.9	1968-01-03
Mary	4094.56	122.3	1968-01-04
Jackie	3028.10	132.2	1968-01-05
George	3049.42	221.1	1968-01-06
Claude	4765.33	222	1968-01-07
Maxwell	4230.57	216.9	1968-01-08
George	3963.41	139	1968-01-09
Phillip	4766.60	145.4	1968-01-10
Gerald	4344.77	183.9	1968-01-11
Ashley	3866.90	182.2	1968-01-12
Jason	3258.00	168.5	1968-01-13
Dorothy	4074.76	183	1968-01-14
Sheila	4000.47	139.5	1968-01-15
Mary	4071.49	227.9	1968-01-16
Julie	3998.26	139.3	1968-01-17
Sandra	4754.29	205.9	1968-01-18
Derek	3915.11	159.9	1968-01-19
James	4233.32	141.5	1968-01-20
Germaine	3548.18	136	1968-01-21
Isabel	3814.58	154.9	1968-01-22
Allan	6056.49	133.8	1968-01-23
Daniel	4196.83	245.1	1968-01-24
Jack	3508.59	222.4	1968-01-25
Sasha	3138.39	129.4	1968-01-26
Henry	3938.47	197.6	1968-01-27
Jeffrey	3999.67	169.6	1968-01-28
Miguel	4232.00	176.9	1968-01-29
Terry	2664.78	156	1968-01-30
Lizeth	3923.70	117.3	1968-01-31
Robt	3756.38	165	1968-02-01
Laura	2964.83	187.7	1968-02-02
David	2933.48	171.4	1968-02-03
Amanda	3900.89	204.2	1968-02-04
Linda	3958.59	211.4	1968-02-05
Barbara	3899.39	155.3	1968-02-06
Cheree	3472.27	120.8	1968-02-07
John	4194.85	211.2	1968-02-08
Joanne	3985.59	195.8	1968-02-09
Monte	3887.24	226.2	1968-02-10
Julian	2648.07	170.5	1968-02-11
Stephen	4067.99	177.1	1968-02-12
Leonard	3387.17	148.9	1968-02-13
Sean	4465.46	191.8	1968-02-14
James	3875.55	232.3	1968-02-15
Louis	4206.13	189.2	1968-02-16
Jessie	3991.31	172.3	1968-02-17
Robert	3301.45	184.4	1968-02-18
Tomeka	3375.69	174.9	1968-02-19
William	3891.81	221.1	1968-02-20
Teresa	3999.51	201.7	1968-02-21
Stephen	4478.11	164.8	1968-02-22
Joseph	4233.55	211.9	1968-02-23
Mary	3509.27	136.6	1968-02-24
Gladys	4238.21	184.6	1968-02-25
Kayla	3084.10	129.8	1968-02-26
Robert	3902.55	146.7	1968-02-27
Lorretta	3878.09	143.9	1968-02-28
Thomas	4055.11	227.5	1968-02-29
Christopher	2854.04	123.2	1968-03-01
Ruby	4220.65	176.4	1968-03-02
Betty	4081.97	135.5	1968-03-03
Larry	4255.65	153.6	1968-03-04
Denis	2970.57	193.8	1968-03-05
Grady	3023.19	139	1968-03-06
Jane	3917.42	207.5	1968-03-07
Roberta	3955.57	159.3	1968-03-08
Jason	4760.62	197.3	1968-03-09
Gregory	4047.59	223.3	1968-03-10
Justin	3046.90	239.4	1968-03-11
Matthew	3400.15	227.5	1968-03-12
Esther	4571.24	141.7	1968-03-13
Tammie	3769.23	122.3	1968-03-14
Todd	3417.05	242.7	1968-03-15
Philip	2621.54	207.9	1968-03-16
Leon	4062.59	164.3	1968-03-17
Michelle	4559.19	202.8	1968-03-18
David	4334.13	222.9	1968-03-19
Nicholle	4450.19	163.5	1968-03-20
Geneva	4174.12	106.3	1968-03-21
Derrick	4294.64	225.5	1968-03-22
Kay	3423.97	132	1968-03-23
Sabrina	4324.18	155.5	1968-03-24
Eugene	3972.60	155.8	1968-03-25
Lawrence	3428.29	240	1968-03-26
Brian	3732.99	230.3	1968-03-27
Steven	4053.65	238	1968-03-28
Jerome	3028.15	199.8	1968-03-29
Teresa	2675.55	112.9	1968-03-30
Elaine	3123.71	205	1968-03-31
Edward	2858.29	208.6	1968-04-01
Linda	3077.90	150.3	1968-04-02
Randall	4107.11	180.6	1968-04-03
Claudia	3882.37	162.1	1968-04-04
Susie	2624.21	180.4	1968-04-05
Daniel	3050.30	212.3	1968-04-06
Brian	2624.78	196.9	1968-04-07
Angela	3212.97	189.4	1968-04-08
Candy	3995.76	136.2	1968-04-09
Ann	3395.07	229.2	1968-04-10
Frances	4076.77	186.8	1968-04-11
Angela	2585.59	116.6	1968-04-12
Charlotte	4311.82	127.4	1968-04-13
Stanley	3854.52	186.3	1968-04-14
Jose	4303.08	188.5	1968-04-15
Eric	4683.24	144.5	1968-04-16
Joyce	2967.08	138.4	1968-04-17
Kenneth	3562.82	172.9	1968-04-18
Alvin	4257.47	199.8	1968-04-19
Alphonso	4275.50	141.2	1968-04-20
Maria	3649.75	124.1	1968-04-21
Eugene	3516.28	192.1	1968-04-22
Joan	4065.83	149.4	1968-04-23
Elaine	3277.57	213.2	1968-04-24
Andrea	3901.79	114.8	1968-04-25
Carlos	2976.64	225.7	1968-04-26
Jackie	2612.10	162.8	1968-04-27
Javier	4389.32	147.8	1968-04-28
Mercedes	4572.78	134.9	1968-04-29
Julianne	3879.12	191.2	1968-04-30
Anna	3400.17	122.5	1968-05-01
Antonio	3512.88	182.2	1968-05-02
Henry	4472.88	199.8	1968-05-03
Amanda	3617.70	184.6	1968-05-04
Doris	4484.01	185	1968-05-05
Jorge	3343.89	237.6	1968-05-06
Shawn	2676.13	168.5	1968-05-07
Erica	4084.84	172.9	1968-05-08
Hattie	3549.74	229.7	1968-05-09
Genevieve	4159.81	129.8	1968-05-10
Linda	3475.58	127.6	1968-05-11
Lynn	4227.35	200.2	1968-05-12
Juanita	3673.12	210.1	1968-05-13
Leora	4165.14	222.2	1968-05-14
Freda	2901.05	115.5	1968-05-15
Andrew	4250.66	183.9	1968-05-16
John	3474.26	229.2	1968-05-17
Lorie	4069.92	115.1	1968-05-18
Joel	3735.12	213.2	1968-05-19
Wade	3767.28	144.5	1968-05-20
Lasandra	3569.99	191.6	1968-05-21
William	3337.16	226.6	1968-05-22
Christian	3552.92	236.5	1968-05-23
Daniel	3378.53	182.6	1968-05-24
Rodney	4216.12	153.6	1968-05-25
Margaret	3393.31	187.4	1968-05-26
Larry	3283.80	169	1968-05-27
Jeffrey	4493.65	225.3	1968-05-28
Pauline	4152.48	113.3	1968-05-29
Clifford	4060.04	141.7	1968-05-30
Fred	2794.61	248.6	1968-05-31
John	3085.11	176.7	1968-06-01
Alicia	3386.39	191.2	1968-06-02
Penny	4397.17	119.7	1968-06-03
Dexter	3288.41	143.4	1968-06-04
Kenneth	3706.71	182.8	1968-06-05
Therese	3891.20	124.3	1968-06-06
John	3856.31	170.5	1968-06-07
Frederick	2902.16	170.3	1968-06-08
Hiram	3000.52	187.2	1968-06-09
Krystle	2592.79	165.7	1968-06-10
Gretchen	3534.27	221.8	1968-06-11
Paul	4761.76	152.2	1968-06-12
David	4209.40	170.9	1968-06-13
Jimmy	3266.81	231	1968-06-14
Agnes	4275.58	173.8	1968-06-15
Hazel	3891.53	159.9	1968-06-16
Rafael	4429.21	226.2	1968-06-17
Brook	4072.24	138.2	1968-06-18
Joseph	3941.31	182.8	1968-06-19
Sylvia	3527.21	170.3	1968-06-20
Lynda	3867.12	196	1968-06-21
Elsa	3812.68	175.3	1968-06-22
Victor	3259.28	134.9	1968-06-23
Elsie	3735.92	176.7	1968-06-24
Marlon	3391.18	183.5	1968-06-25
Nancy	3638.78	204.8	1968-06-26
Helen	4301.24	209.2	1968-06-27
Joe	4499.99	145	1968-06-28
Judy	3408.46	190.3	1968-06-29
Cindy	3826.54	163.9	1968-06-30
Grant	3374.23	163	1968-07-01
Joyce	3667.68	184.6	1968-07-02
Randall	4138.78	203.1	1968-07-03
Peggy	3308.99	152	1968-07-04
Debera	3383.94	138.8	1968-07-05
Charles	4440.46	167.4	1968-07-06
Belinda	4060.75	199.1	1968-07-07
Linda	4361.77	165.7	1968-07-08
Rita	4303.48	185.2	1968-07-09
James	4213.00	251.5	1968-07-10
Ladonna	4154.47	212.7	1968-07-11
John	3745.00	227.7	1968-07-12
James	3686.71	241.3	1968-07-13
Carole	3398.84	150	1968-07-14
Nancy	4423.52	204.4	1968-07-15
Melanie	2859.21	230.3	1968-07-16
Scott	3902.08	237.6	1968-07-17
Jonathan	4021.21	175.1	1968-07-18
James	4374.74	197.8	1968-07-19
Lelia	4747.70	213.2	1968-07-20
Robert	3933.84	203.3	1968-07-21
Jake	3285.51	231.9	1968-07-22
Peter	3282.10	235.6	1968-07-23
Mary	4266.99	115.5	1968-07-24
Curtis	4427.55	175.3	1968-07-25
Beth	4067.68	140.8	1968-07-26
Elsie	3004.21	124.5	1968-07-27
Ronnie	4640.07	155.8	1968-07-28
Eric	3801.41	151.4	1968-07-29
Kyle	3602.32	158.4	1968-07-30
Johnny	3885.97	214.1	1968-07-31
Anthony	3445.94	146.5	1968-08-01
Karen	3617.80	177.1	1968-08-02
Kari	3744.12	176.2	1968-08-03
Gustavo	3530.27	143	1968-08-04
Mary	4112.11	180	1968-08-05
Lee	4378.62	163	1968-08-06
George	2956.91	200.6	1968-08-07
Raymond	4072.77	188.5	1968-08-08
Patricia	4086.20	211	1968-08-09
Julie	3110.63	159.5	1968-08-10
Danny	3623.49	230.3	1968-08-11
Ronald	4162.96	150.7	1968-08-12
Ashley	3424.74	115.3	1968-08-13
William	3521.80	207.5	1968-08-14
Patricia	3911.24	142.1	1968-08-15
Kay	2591.67	143.7	1968-08-16
Jackie	2571.35	204.6	1968-08-17
Larry	4191.05	152.2	1968-08-18
Darla	4561.94	216.9	1968-08-19
Ronnie	4309.94	167	1968-08-20
Jeffrey	3618.89	249.9	1968-08-21
Vanessa	4019.65	105.8	1968-08-22
Nellie	3901.53	190.3	1968-08-23
Mildred	3613.75	111.1	1968-08-24
Blanca	4557.51	140.6	1968-08-25
Salvador	4232.80	186.3	1968-08-26
Lydia	3225.40	142.8	1968-08-27
David	4063.90	234.3	1968-08-28
Barbra	3395.43	193.6	1968-08-29
Fred	4008.34	218.9	1968-08-30
Jessica	3514.21	138.6	1968-08-31
Mary	3383.33	226.4	1968-09-01
Dorothy	3464.82	220.7	1968-09-02
Lillian	3947.52	132.2	1968-09-03
Bonnie	4689.44	112.2	1968-09-04
Inge	4252.35	139.3	1968-09-05
Leonard	4157.80	235.4	1968-09-06
Joan	4272.99	177.3	1968-09-07
Edward	3729.59	197.6	1968-09-08
Carol	4212.49	170.7	1968-09-09
Josh	4654.43	250.6	1968-09-10
David	2986.21	187.4	1968-09-11
David	4546.63	219.3	1968-09-12
Wm	4083.94	160.2	1968-09-13
Barbara	3722.24	189.4	1968-09-14
Deborah	3347.77	132.7	1968-09-15
Deanna	3175.30	221.1	1968-09-16
Randal	3349.13	198.9	1968-09-17
Patricia	3836.30	129.1	1968-09-18
Dawn	3159.24	214.9	1968-09-19
Susan	3920.50	107.1	1968-09-20
Myrna	3908.11	177.8	1968-09-21
Manie	4261.07	218	1968-09-22
Jean	3404.42	164.8	1968-09-23
James	2794.16	165	1968-09-24
Roger	3401.28	140.4	1968-09-25
Adina	2937.27	145	1968-09-26
Renata	3623.50	122.5	1968-09-27
James	4102.18	239.1	1968-09-28
Annmarie	3669.23	118.1	1968-09-29
Bettye	3490.62	179.7	1968-09-30
Hector	4024.18	159.3	1968-10-01
Gilberto	3597.69	148.9	1968-10-02
Elizabeth	3423.07	212.5	1968-10-03
Sharon	4032.22	140.1	1968-10-04
Ida	3800.77	119	1968-10-05
Sylvia	3689.05	175.6	1968-10-06
Thomas	3293.93	244.2	1968-10-07
Craig	3415.78	137.5	1968-10-08
Jane	3075.22	143.7	1968-10-09
John	3279.48	199.3	1968-10-10
Jasmine	4142.95	210.8	1968-10-11
Ali	3474.99	199.5	1968-10-12
Angela	4052.04	220.2	1968-10-13
Larry	3283.14	234.1	1968-10-14
Leticia	4311.41	196.2	1968-10-15
Ida	3962.99	218.7	1968-10-16
Larry	4111.51	154	1968-10-17
Albert	3532.63	222.4	1968-10-18
Juan	2980.27	168.5	1968-10-19
Antonia	3627.24	153.8	1968-10-20
Nicolas	3909.24	158.8	1968-10-21
Matthew	3423.78	186.3	1968-10-22
Mary	3287.70	156.4	1968-10-23
Marie	3964.12	215.4	1968-10-24
Manuela	3377.80	174	1968-10-25
Carl	3375.88	230.3	1968-10-26
Emily	3717.21	108.5	1968-10-27
Anna	3997.66	233	1968-10-28
John	3604.05	211.6	1968-10-29
Trent	3335.77	228.4	1968-10-30
Charisse	3730.88	188.3	1968-10-31
Martina	3203.04	182.6	1968-11-01
Amanda	2987.91	156.4	1968-11-02
Luis	3646.38	221.8	1968-11-03
Wanda	3396.61	150.7	1968-11-04
Robyn	3991.82	128	1968-11-05
Robin	4843.90	195.8	1968-11-06
Mattie	3859.94	213.8	1968-11-07
Carl	4141.11	195.4	1968-11-08
James	4180.80	153.6	1968-11-09
Esther	3399.06	219.3	1968-11-10
Edward	4119.43	232.5	1968-11-11
Alison	3019.32	133.1	1968-11-12
Gertrude	3409.71	222.4	1968-11-13
Steve	2630.25	144.5	1968-11-14
Deborah	3003.19	156.6	1968-11-15
Diana	3908.76	152.9	1968-11-16
William	3509.54	212.7	1968-11-17
Zulema	3280.62	220.9	1968-11-18
Jacob	4008.92	162.8	1968-11-19
Sally	3859.10	143.4	1968-11-20
Addie	4491.75	159.5	1968-11-21
Kaylene	4188.81	150.9	1968-11-22
George	3746.47	176.7	1968-11-23
Jan	3407.41	244	1968-11-24
Jonathan	3006.29	234.7	1968-11-25
Russell	4644.31	197.6	1968-11-26
Vivian	3848.46	116.4	1968-11-27
Lisa	4181.05	120.6	1968-11-28
Donny	2603.00	240.2	1968-11-29
Anibal	4298.60	187.4	1968-11-30
William	2822.83	236.3	1968-12-01
Marian	4190.25	204.6	1968-12-02
Mary	4001.34	128.7	1968-12-03
Jason	4117.35	229.9	1968-12-04
Suzanne	3738.14	121.2	1968-12-05
Patricia	4106.49	174	1968-12-06
Alisa	3965.70	226.2	1968-12-07
Olivia	3930.99	130.7	1968-12-08
Don	3904.33	147.6	1968-12-09
Rodney	2764.63	215.2	1968-12-10
Henry	4083.35	126.7	1968-12-11
Denise	2966.02	178	1968-12-12
Ima	3409.80	183.3	1968-12-13
Thomas	3555.50	154.2	1968-12-14
Warren	4685.70	190.5	1968-12-15
Bettye	2971.05	215.2	1968-12-16
Teresa	3586.60	157.3	1968-12-17
Amanda	4241.21	114.6	1968-12-18
Amanda	4005.02	166.8	1968-12-19
Winona	2804.32	155.5	1968-12-20
Vickie	4281.48	134.4	1968-12-21
Hazel	4145.62	155.8	1968-12-22
Casey	3991.97	151.4	1968-12-23
George	3266.02	198.7	1968-12-24
Donald	4079.87	124.7	1968-12-25
George	3285.85	254.5	1968-12-26
Deborah	3240.50	129.6	1968-12-27
Della	3810.07	131.1	1968-12-28
Jose	4077.53	158.6	1968-12-29
Daniel	3238.56	255	1968-12-30
Michele	2938.71	121.9	1968-12-31
Yvonne	3797.62	138.2	1969-01-01
William	2801.80	201.5	1969-01-02
Barbara	3995.99	112.4	1969-01-03
Otis	3398.19	251.9	1969-01-04
Estelle	3539.37	178.9	1969-01-05
Fred	4229.13	236.1	1969-01-06
Timothy	4229.40	170.7	1969-01-07
Cynthia	2937.62	136.8	1969-01-08
Eleanor	4251.41	152.2	1969-01-09
Gayle	3997.53	178.9	1969-01-10
Elizabeth	3285.35	111.5	1969-01-11
Monique	3793.88	170.5	1969-01-12
Michael	4497.33	154.4	1969-01-13
Joseph	3923.70	243.8	1969-01-14
Zachary	3870.84	224.8	1969-01-15
Tim	3414.04	137.9	1969-01-16
Joseph	3373.54	250.8	1969-01-17
Ana	3999.62	183.9	1969-01-18
Frank	3993.69	197.6	1969-01-19
Ernest	3349.43	201.5	1969-01-20
Helen	3242.55	151.1	1969-01-21
Hee	4121.76	182.8	1969-01-22
Joshua	3279.28	247.5	1969-01-23
Denyse	2961.30	137.3	1969-01-24
Margaret	3878.53	117.7	1969-01-25
Harold	2852.70	228.6	1969-01-26
Brian	4054.22	134.6	1969-01-27
Robin	3366.43	215.2	1969-01-28
Howard	3218.48	161.7	1969-01-29
Brook	3925.49	111.1	1969-01-30
Daniel	3408.34	182.8	1969-01-31
Jason	3268.58	200	1969-02-01
Carol	3513.02	209.4	1969-02-02
Thelma	2946.01	161.9	1969-02-03
William	4371.24	214.5	1969-02-04
Justin	3204.85	158	1969-02-05
Mildred	4046.38	110.9	1969-02-06
Isabel	3018.04	140.1	1969-02-07
Susan	3420.38	144.1	1969-02-08
Herman	3603.91	206.1	1969-02-09
Paul	4313.14	243.1	1969-02-10
Madeline	4165.57	161.3	1969-02-11
Kristy	3522.27	170.1	1969-02-12
Shannon	4304.37	230.1	1969-02-13
Irma	3302.65	142.6	1969-02-14
Kasey	4309.44	167.9	1969-02-15
Henry	4342.29	247.3	1969-02-16
Roberta	3891.59	210.8	1969-02-17
Lewis	3893.83	201.7	1969-02-18
Ali	3473.93	146.3	1969-02-19
Perry	4061.26	144.5	1969-02-20
Jay	3365.18	115.9	1969-02-21
Tonya	4051.09	128.9	1969-02-22
Peggy	4082.07	140.1	1969-02-23
Christine	3901.06	150.3	1969-02-24
Vanessa	3412.50	209.9	1969-02-25
Christina	3523.08	168.7	1969-02-26
